Конструктор сайтов Elementor — больше, чем просто конструктор страниц;https://ru.wordpress.org/plugins/elementor/;10+ млн активных установок;6.8.1
Contact Form 7;https://ru.wordpress.org/plugins/contact-form-7/;10+ млн активных установок;6.8.1
Yoast SEO — продвинутый SEO с руководством в реальном времени и встроенным искусственным интеллектом;https://ru.wordpress.org/plugins/wordpress-seo/;10+ млн активных установок;6.8.1
Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;9+ млн активных установок;6.7.2
WooCommerce;https://ru.wordpress.org/plugins/woocommerce/;7+ млн активных установок;6.8.1
LiteSpeed Cache;https://ru.wordpress.org/plugins/litespeed-cache/;7+ млн активных установок;6.8.1
Akismet Anti-spam: Spam Protection;https://ru.wordpress.org/plugins/akismet/;6+ млн активных установок;6.8.1
WPForms — простой конструктор форм для WordPress — контактные формы, формы оплаты, опросы и многое другое;https://ru.wordpress.org/plugins/wpforms-lite/;6+ млн активных установок;6.8.1
All-in-One WP Migration and Backup;https://ru.wordpress.org/plugins/all-in-one-wp-migration/;5+ млн активных установок;6.8.1
Site Kit by Google — Analytics, Search Console, AdSense, Speed;https://ru.wordpress.org/plugins/google-site-kit/;5+ млн активных установок;6.8.1
Wordfence Security — Firewall, Malware Scan, and Login Security;https://ru.wordpress.org/plugins/wordfence/;5+ млн активных установок;6.8.1
Really Simple Security — Simple and Performant Security (formerly Really Simple SSL);https://ru.wordpress.org/plugins/really-simple-ssl/;4+ млн активных установок;6.8.1
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;4+ млн активных установок;6.8.1
WP Mail SMTP от WPForms — самый популярный плагин для SMTP и журнала электронной почты;https://ru.wordpress.org/plugins/wp-mail-smtp/;4+ млн активных установок;6.8.1
Yoast Duplicate Post;https://ru.wordpress.org/plugins/duplicate-post/;4+ млн активных установок;6.8.1
UpdraftPlus: WP Backup & Migration Plugin;https://ru.wordpress.org/plugins/updraftplus/;3+ млн активных установок;6.8.1
Duplicate Page;https://ru.wordpress.org/plugins/duplicate-page/;3+ млн активных установок;6.8.1
Rank Math SEO – Инструменты SEO с ИИ для доминирования в SEO-рейтинге;https://ru.wordpress.org/plugins/seo-by-rank-math/;3+ млн активных установок;6.8.1
All in One SEO — мощный плагин SEO для повышения показателей SEO и увеличения трафика;https://ru.wordpress.org/plugins/all-in-one-seo-pack/;3+ млн активных установок;6.8.1
WordPress Importer;https://ru.wordpress.org/plugins/wordpress-importer/;3+ млн активных установок;6.7.2
MonsterInsights — консоль Google Analytics для WordPress (простой доступ к статистике веб-сайта);https://ru.wordpress.org/plugins/google-analytics-for-wordpress/;2+ млн активных установок;6.8.1
Перенаправление;https://ru.wordpress.org/plugins/redirection/;2+ млн активных установок;6.8.1
WPCode — менеджер кода WordPress на основе плагина Insert Headers and Footers с добавлением пользовательских сниппетов кода;https://ru.wordpress.org/plugins/insert-headers-and-footers/;2+ млн активных установок;6.8.1
Hostinger Tools;https://ru.wordpress.org/plugins/hostinger/;2+ млн активных установок;6.8.1
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;2+ млн активных установок;6.7.2
Limit Login Attempts Reloaded — Login Security, Brute Force Protection, Firewall;https://ru.wordpress.org/plugins/limit-login-attempts-reloaded/;2+ млн активных установок;6.8.1
Ultimate Addons for Elementor (Formerly Elementor Header & Footer Builder);https://ru.wordpress.org/plugins/header-footer-elementor/;2+ млн активных установок;6.8.1
Advanced Editor Tools;https://ru.wordpress.org/plugins/tinymce-advanced/;2+ млн активных установок;6.8.1
MC4WP: Mailchimp for WordPress;https://ru.wordpress.org/plugins/mailchimp-for-wp/;2+ млн активных установок;6.8.1
Essential Addons for Elementor — Popular Elementor Templates & Widgets;https://ru.wordpress.org/plugins/essential-addons-for-elementor-lite/;2+ млн активных установок;6.8.1
Advanced Custom Fields (ACF®);https://ru.wordpress.org/plugins/advanced-custom-fields/;2+ млн активных установок;6.8.1
Starter Templates – AI-Powered Templates for Elementor & Gutenberg;https://ru.wordpress.org/plugins/astra-sites/;2+ млн активных установок;6.8.1
WPS Hide Login;https://ru.wordpress.org/plugins/wps-hide-login/;1+ млн активных установок;6.8.1
ElementsKit Elementor Addons and Templates;https://ru.wordpress.org/plugins/elementskit-lite/;1+ млн активных установок;6.8.1
Loco Translate;https://ru.wordpress.org/plugins/loco-translate/;1+ млн активных установок;6.8.1
WP Super Cache;https://ru.wordpress.org/plugins/wp-super-cache/;1+ млн активных установок;6.7.2
Duplicator — плагин для резервного копирования и переноса данных: резервное копирование в облако, резервное копирование по расписанию и многое другое;https://ru.wordpress.org/plugins/duplicator/;1+ млн активных установок;6.8.1
Disable Comments — удалить комментарии и остановить спам [поддержка мультисайтов];https://ru.wordpress.org/plugins/disable-comments/;1+ млн активных установок;6.8.1
CookieYes — Cookie Banner for Cookie Consent (Easy to setup GDPR/CCPA Compliant Cookie Notice);https://ru.wordpress.org/plugins/cookie-law-info/;1+ млн активных установок;6.8.1
WP Fastest Cache;https://ru.wordpress.org/plugins/wp-fastest-cache/;1+ млн активных установок;6.8.1
Popup Builder & Popup Maker for WordPress – OptinMonster Эл. почта Marketing and Lead Generation;https://ru.wordpress.org/plugins/optinmonster/;1+ млн активных установок;6.8.1
Loginizer;https://ru.wordpress.org/plugins/loginizer/;1+ млн активных установок;6.8.1
Better Search Replace;https://ru.wordpress.org/plugins/better-search-replace/;1+ млн активных установок;6.8.1
File Manager;https://ru.wordpress.org/plugins/wp-file-manager/;1+ млн активных установок;6.8.1
SVG Support;https://ru.wordpress.org/plugins/svg-support/;1+ млн активных установок;6.7.3
Envato Elements — Photos & Elementor Templates;https://ru.wordpress.org/plugins/envato-elements/;1+ млн активных установок;6.4.5
Speed Optimizer — The All-In-One Performance-Boosting Plugin;https://ru.wordpress.org/plugins/sg-cachepress/;1+ млн активных установок;6.8.1
XML Sitemap Generator for Google;https://ru.wordpress.org/plugins/google-sitemap-generator/;1+ млн активных установок;6.8.1
One Click Demo Import;https://ru.wordpress.org/plugins/one-click-demo-import/;1+ млн активных установок;6.6.2
Complianz — GDPR/CCPA Cookie Consent;https://ru.wordpress.org/plugins/complianz-gdpr/;1+ млн активных установок;6.8.1
WP-Optimize – Cache, Compress images, Minify & Clean database to boost page speed & performance;https://ru.wordpress.org/plugins/wp-optimize/;1+ млн активных установок;6.8.1
ManageWP Worker;https://ru.wordpress.org/plugins/worker/;1+ млн активных установок;6.8.1
Custom Post Type UI;https://ru.wordpress.org/plugins/custom-post-type-ui/;1+ млн активных установок;6.8.1
Smush Image Optimization – Optimize Images | Compress & Lazy Load Images | Convert WebP & AVIF | Image CDN;https://ru.wordpress.org/plugins/wp-smushit/;1+ млн активных установок;6.8.1
Smash Balloon Social Photo Feed — удобный плагин для лент социальных сетей;https://ru.wordpress.org/plugins/instagram-feed/;1+ млн активных установок;6.8.1
Regenerate Thumbnails;https://ru.wordpress.org/plugins/regenerate-thumbnails/;1+ млн активных установок;6.3.5
Spectra Gutenberg Blocks – конструктор сайтов для редактора блоков;https://ru.wordpress.org/plugins/ultimate-addons-for-gutenberg/;1+ млн активных установок;6.8.1
Сниппеты кода;https://ru.wordpress.org/plugins/code-snippets/;1+ млн активных установок;6.7.2
EWWW Image Optimizer;https://ru.wordpress.org/plugins/ewww-image-optimizer/;1+ млн активных установок;6.8.1
W3 Total Cache;https://ru.wordpress.org/plugins/w3-total-cache/;1+ млн активных установок;6.8.1
Maintenance;https://ru.wordpress.org/plugins/maintenance/;1+ млн активных установок;6.8.1
All-In-One Security (AIOS) – Security and Firewall;https://ru.wordpress.org/plugins/all-in-one-wp-security-and-firewall/;1+ млн активных установок;6.8.1
Redux Framework;https://ru.wordpress.org/plugins/redux-framework/;1+ млн активных установок;6.8.1
Image Optimizer — оптимизация изображений и конвертация в WebP или AVIF;https://ru.wordpress.org/plugins/image-optimization/;1+ млн активных установок;6.7.2
Safe SVG;https://ru.wordpress.org/plugins/safe-svg/;1+ млн активных установок;6.8.1
WP Multibyte Patch;https://ru.wordpress.org/plugins/wp-multibyte-patch/;1+ млн активных установок;6.8.1
Cookie Notice & Compliance for GDPR / CCPA;https://ru.wordpress.org/plugins/cookie-notice/;1+ млн активных установок;6.8.1
Security Optimizer — The All-In-One Protection Plugin;https://ru.wordpress.org/plugins/sg-security/;1+ млн активных установок;6.8.1
Autoptimize;https://ru.wordpress.org/plugins/autoptimize/;1+ млн активных установок;6.8.1
Imagify Image Optimization — Оптимизация изображений | Сжатие изображений | Конвертация WebP | Конвертация AVIF;https://ru.wordpress.org/plugins/imagify/;900 000+ активных установок;6.8.1
Google for WooCommerce;https://ru.wordpress.org/plugins/google-listings-and-ads/;900 000+ активных установок;6.8.1
Breadcrumb NavXT;https://ru.wordpress.org/plugins/breadcrumb-navxt/;900 000+ активных установок;6.7.2
Smart Slider 3;https://ru.wordpress.org/plugins/smart-slider-3/;900 000+ активных установок;6.8.1
WooPayments: Integrated WooCommerce Payments;https://ru.wordpress.org/plugins/woocommerce-payments/;800 000+ активных установок;6.8.1
Solid Security – Password, Two Factor Authentication, and Brute Force Protection;https://ru.wordpress.org/plugins/better-wp-security/;800 000+ активных установок;6.8.1
Polylang;https://ru.wordpress.org/plugins/polylang/;800 000+ активных установок;6.8.1
Translate WordPress with GTranslate;https://ru.wordpress.org/plugins/gtranslate/;800 000+ активных установок;6.8.1
Website Builder by SeedProd — Theme Builder, Landing Page Builder, Coming Soon Page, Maintenance Mode;https://ru.wordpress.org/plugins/coming-soon/;800 000+ активных установок;6.8.1
Flamingo;https://ru.wordpress.org/plugins/flamingo/;800 000+ активных установок;6.5.5
WooCommerce Stripe Payment Gateway;https://ru.wordpress.org/plugins/woocommerce-gateway-stripe/;800 000+ активных установок;6.8.1
Premium Addons for Elementor;https://ru.wordpress.org/plugins/premium-addons-for-elementor/;700 000+ активных установок;6.8.1
Migration, Backup, Staging – WPvivid Backup & Migration;https://ru.wordpress.org/plugins/wpvivid-backuprestore/;700 000+ активных установок;6.8.1
GTM4WP — A Google Tag Manager (GTM) plugin for WordPress;https://ru.wordpress.org/plugins/duracelltomi-google-tag-manager/;700 000+ активных установок;6.8.1
Antispam Bee;https://ru.wordpress.org/plugins/antispam-bee/;700 000+ активных установок;6.7.2
TablePress — Таблицы в WordPress сделать просто;https://ru.wordpress.org/plugins/tablepress/;700 000+ активных установок;6.8.1
Hello Dolly;https://ru.wordpress.org/plugins/hello-dolly/;700 000+ активных установок;6.8.1
User Role Editor;https://ru.wordpress.org/plugins/user-role-editor/;700 000+ активных установок;6.8.1
Popup Maker — увеличивайте продажи, конверсию, количество подписчиков с помощью Ultimate WP Popups Builder;https://ru.wordpress.org/plugins/popup-maker/;700 000+ активных установок;6.8.1
Events Calendar;https://ru.wordpress.org/plugins/the-events-calendar/;700 000+ активных установок;6.8.1
Joinchat;https://ru.wordpress.org/plugins/creame-whatsapp-me/;700 000+ активных установок;6.8.1
Sucuri Security — Auditing, Malware Scanner and Security Hardening;https://ru.wordpress.org/plugins/sucuri-scanner/;700 000+ активных установок;6.8.1
